lfdn;external_lfdn;tester;dispcode;lastpage;quality;duration;condition;p_0001;p_0002;v_2343;age;gender;gender_other;education;education_other;severity;AC;MC_contr;MC_uncert;MC_normal;MC_hope;trust1;trust2;trust3;trust4;trust5;trust6;trust7;trust8;trust9;trust10;satisfaction;nfc1;nfc2;nfc3;nfc4;nfc5;nfc6;pvs_personal;pvs_vicarious;comments;consent_serious;browser;referer;device_type;quota;quota_assignment;quota_rejected_id;page_history;hflip;vflip;output_mode;javascript;flash;session_id;language;cleaned;ats;datetime;date_of_last_access;date_of_first_mail;rts7089086;rts7091286;rts7091318;rts7091321;rts7091324;rts7091325;rts7091336;rts7091337;rts7091338;rts7091339;rts7091342;rts7091343;rts7091344;rts7133055
23;0;0;31;7089087;-77;385;3;0;0;6658b12eeafb8df0d3dfb747;24;1;-99;5;-99;5;2;-77;-77;3;-77;3;4;4;5;3;4;3;3;5;4;3;7;7;7;7;7;7;2;1;-99;1;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Mobile Safari/537.36";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091336,7091334,7091343,7133055,7091344,7091342,7089086,7089087;0;1;0;-77;-77;8579210d265ada25869abe106f3bd1f6;1;0;1726146413;12.09.2024 13:06;12.09.2024 13:13;0000-00-00 00:00:00;385;41;127;162;0;169;218;0;0;0;381;274;372;328
24;0;0;31;7089087;-77;408;4;0;0;665adf1ea4be7258f2e1103a;27;2;-99;5;-99;6;2;-77;-77;-77;5;6;2;6;2;6;6;6;6;6;2;4;6;6;6;6;6;5;2;2;-99;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091334,7091337,7091343,7133055,7091344,7091342,7089086,7089087;0;0;0;-77;-77;13c8039649b06c5b9d84a2f250768a8a;1;0;1726146428;12.09.2024 13:07;12.09.2024 13:13;0000-00-00 00:00:00;408;40;88;117;0;134;0;199;0;0;400;279;376;292
25;0;0;31;7089087;-77;362;3;0;0;59b19a277f6c84000151c001;63;1;-99;2;-99;6;4;-77;-77;3;-77;4;3;5;3;4;4;4;4;4;3;3;6;6;5;5;6;6;3;2;It was stated that I did not answer a question correctly but I felt that as the symptoms were ongoing and had it fact worsened it was an ongoing infection rather than post viral , I did read thoroughly;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091324,7091325,7091327,7091329,7091332,7091336,7091334,7091343,7133055,7091344,7091342,7089086,7089087;1;0;0;-77;-77;1abca8dd0b5bee7122cfe7ac4aae55a5;1;0;1726146434;12.09.2024 13:07;12.09.2024 13:13;0000-00-00 00:00:00;362;17;52;74;111;123;166;0;0;0;348;202;250;215
26;0;0;31;7089087;-77;325;4;0;0;650c46c011e2f894662d75ed;30;1;-99;4;-99;5;2;-77;-77;-77;2;5;3;5;4;4;5;3;4;3;4;4;7;7;4;7;6;6;2;1;-99;1;"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091334,7091337,7091343,7133055,7091344,7091342,7089086,7089087;1;1;0;-77;-77;67b666cbea51aba3c6f7353d35e96add;1;0;1726146437;12.09.2024 13:07;12.09.2024 13:12;0000-00-00 00:00:00;325;16;187;196;0;202;0;217;0;0;321;270;315;275
27;0;0;31;7089087;-77;298;2;0;0;603a6eb99a3fd35ed5a51c7d;49;2;-99;5;-99;7;2;-77;6;-77;-77;4;4;4;2;4;4;4;4;5;2;3;5;2;2;3;3;5;1;1;-99;1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091339,7091332,7091334,7091343,7133055,7091344,7091342,7089086,7089087;1;0;0;-77;-77;823c1f9b61941287205df8a4bbb0632c;1;0;1726146441;12.09.2024 13:07;12.09.2024 13:12;0000-00-00 00:00:00;298;22;70;83;0;102;0;0;0;138;293;217;285;228
28;0;0;31;7089087;-77;305;4;0;0;5cc9df34a0289a001408c402;24;1;-99;4;-99;5;2;-77;-77;-77;2;2;6;4;4;3;2;2;2;5;7;2;6;6;4;7;5;5;3;1;-99;1;"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091334,7091337,7091343,7133055,7091344,7091342,7089086,7089087;0;1;0;-77;-77;d6470b73de7afe6659244cef747a418f;1;0;1726146451;12.09.2024 13:07;12.09.2024 13:12;0000-00-00 00:00:00;305;14;44;55;0;62;0;80;0;0;302;183;298;272
29;0;0;31;7089087;-77;170;2;0;0;5de7ad0ca1a3fb7217ec3365;42;1;-99;4;-99;6;2;-77;6;-77;-77;6;6;6;2;5;6;6;5;5;2;4;3;3;5;4;3;4;3;2;-99;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Edg/128.0.0.0";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091339,7091332,7091334,7091343,7133055,7091344,7091342,7089086,7089087;1;0;0;-77;-77;be40da98e1cf74e13d47665c07973efb;1;0;1726146452;12.09.2024 13:07;12.09.2024 13:10;0000-00-00 00:00:00;170;19;45;52;0;60;0;0;0;76;166;108;158;126
30;0;0;31;7089087;-77;272;1;0;0;5ea986e3550e79097829d63e;23;1;-99;5;-99;5;2;3;-77;-77;-77;6;2;5;5;6;3;3;3;2;4;4;6;7;5;7;5;7;2;1;-99;1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091338,7091329,7091332,7091334,7091343,7133055,7091344,7091342,7089086,7089087;0;1;0;-77;-77;e71e35f7583bea6583cea4d61caa9ef1;1;0;1726146463;12.09.2024 13:07;12.09.2024 13:12;0000-00-00 00:00:00;272;13;63;79;0;91;0;0;112;0;252;172;239;187
31;0;0;31;7089087;-77;262;3;0;0;66683ac3e2289cecdda09a0a;23;1;-99;4;-99;5;2;-77;-77;1;-77;1;1;1;4;1;2;1;1;1;3;1;7;7;7;7;7;7;3;2;none ;1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091336,7091334,7091343,7133055,7091344,7091342,7089086,7089087;0;1;0;-77;-77;247db96c7e8bca5a9eb15da9a42d6c68;1;0;1726146468;12.09.2024 13:07;12.09.2024 13:12;0000-00-00 00:00:00;262;33;155;167;0;174;195;0;0;0;257;218;250;223
32;0;0;31;7089087;-77;343;3;0;0;5e5984d548990e18c7f1167b;45;1;-99;3;-99;6;2;-77;-77;3;-77;4;4;3;5;4;4;4;4;4;4;3;3;3;5;3;4;3;1;1;-99;1;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/26.0 Chrome/122.0.0.0 Mobile Safari/537.36";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091336,7091334,7091343,7133055,7091344,7091342,7089086,7089087;0;0;0;-77;-77;3257233e996cfbaf9ae3cbc56f9b0265;1;0;1726146476;12.09.2024 13:07;12.09.2024 13:13;0000-00-00 00:00:00;343;26;100;108;0;118;147;0;0;0;313;196;301;209
33;0;0;31;7089087;-77;352;1;0;0;6161a82f9ed0867ef72f86ce;63;1;-99;4;-99;5;2;3;-77;-77;-77;4;3;4;4;5;4;3;4;5;4;4;6;6;6;6;5;7;3;2;-99;1;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/26.0 Chrome/122.0.0.0 Mobile Safari/537.36";-99;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091338,7091329,7091332,7091334,7091343,7133055,7091344,7091342,7089086,7089087;1;0;0;-77;-77;1f815aa3cd8fd578375f8d843a119d98;1;0;1726146477;12.09.2024 13:07;12.09.2024 13:13;0000-00-00 00:00:00;352;51;143;154;0;166;0;0;185;0;337;232;320;245
34;0;0;31;7089087;-77;475;4;0;0;62b182ba39468032223841bb;46;1;-99;4;-99;6;2;-77;-77;-77;5;5;3;6;3;5;4;5;5;6;2;4;6;5;5;6;5;6;3;1;-99;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091334,7091337,7091343,7133055,7091344,7091342,7089086,7089087;0;0;0;-77;-77;3a33f9bc5824d9cf530793010ef48089;1;0;1726146488;12.09.2024 13:08;12.09.2024 13:16;0000-00-00 00:00:00;475;14;83;92;0;140;0;177;0;0;470;222;464;234
35;0;0;31;7089087;-77;154;3;0;0;5e2c8f69cad44b2bc5ce9a34;49;1;-99;4;-99;6;2;-77;-77;1;-77;7;1;7;1;7;7;7;6;7;1;4;5;5;3;2;5;2;3;1;-99;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091336,7091334,7091343,7133055,7091344,7091342,7089086,7089087;1;1;0;-77;-77;929d681156cc44d592212e668b84b5a4;1;0;1726146489;12.09.2024 13:08;12.09.2024 13:10;0000-00-00 00:00:00;154;13;39;46;0;58;77;0;0;0;145;102;140;112
36;0;0;31;7089087;-77;350;4;0;0;6005f9ba9a21c96134362ff1;58;1;-99;4;-99;5;2;-77;-77;-77;5;6;3;6;1;5;6;5;6;5;2;4;4;4;5;4;6;3;3;2;-99;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Edg/128.0.0.0";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091334,7091337,7091343,7133055,7133055,7133055,7091344,7091342,7089086,7089087;0;1;0;-77;-77;bb1ee8884de658c604078a19f340b9ee;1;0;1726146492;12.09.2024 13:08;12.09.2024 13:14;0000-00-00 00:00:00;350;14;55;61;0;74;0;100;0;0;309;170;298;227
37;0;0;31;7089087;-77;240;4;0;0;6008132eb4bbfe3644a1d44b;69;2;-99;4;-99;6;2;-77;-77;-77;2;3;5;3;5;3;3;3;2;4;5;3;5;6;5;6;6;5;3;2;-99;1;"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091334,7091337,7091343,7133055,7091344,7091342,7089086,7089087;0;1;0;-77;-77;24f05a1e1d96848ea2c74047841b4743;1;0;1726146500;12.09.2024 13:08;12.09.2024 13:12;0000-00-00 00:00:00;240;19;48;65;0;81;0;107;0;0;232;156;219;171
38;0;0;31;7089087;-77;166;1;0;0;62cc66d7db7262253e778d5d;31;1;-99;4;-99;4;2;1;-77;-77;-77;5;4;4;4;4;5;4;5;7;3;4;5;5;1;6;3;5;2;1;-99;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091338,7091329,7091332,7091334,7091343,7133055,7091344,7091342,7089086,7089087;0;0;0;-77;-77;72e98d6490d57afb87d2eb8ab7ba7a50;1;0;1726146510;12.09.2024 13:08;12.09.2024 13:11;0000-00-00 00:00:00;166;9;25;32;0;39;0;0;55;0;163;95;157;107
39;0;0;31;7089087;-77;124;1;0;0;5d1b5881cc4634001a53c691;35;1;-99;5;-99;5;2;4;-77;-77;-77;3;4;3;5;3;3;4;4;4;5;3;4;4;4;5;4;4;3;2;-99;1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091338,7091329,7091332,7091334,7091343,7133055,7091344,7091342,7089086,7089087;1;1;0;-77;-77;202dd69f73df5f3803d01620d8ef17fb;1;0;1726146514;12.09.2024 13:08;12.09.2024 13:10;0000-00-00 00:00:00;124;15;37;43;0;47;0;0;58;0;118;83;114;90
40;0;0;31;7089087;-77;277;3;0;0;66d30423b7e3ae7b533ce4b3;18;1;-99;3;-99;5;2;-77;-77;2;-77;2;4;3;5;3;2;3;2;5;4;3;6;6;6;6;6;6;3;1;none;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091336,7091334,7091343,7133055,7091344,7091342,7089086,7089087;0;1;0;-77;-77;502aa92ed05b849261ca9c629c7a0206;1;0;1726146527;12.09.2024 13:08;12.09.2024 13:13;0000-00-00 00:00:00;277;16;60;73;0;85;124;0;0;0;270;170;256;209
41;0;0;31;7089087;-77;254;3;0;0;667c53c0a21bf0df31b9c3f2;28;1;-99;5;-99;6;2;-77;-77;5;-77;5;3;5;4;6;3;5;5;6;3;3;4;5;5;5;5;5;3;2;-99;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Edg/128.0.0.0";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091336,7091334,7091343,7133055,7091344,7091342,7089086,7089087;1;1;0;-77;-77;149e3539ba4e844c0f44d50b623c6e85;1;0;1726146534;12.09.2024 13:08;12.09.2024 13:13;0000-00-00 00:00:00;254;15;45;55;0;68;126;0;0;0;246;166;239;176
42;0;0;31;7089087;-77;252;4;0;0;6681583654e17e6ec71a3c04@email.prolific.com;46;1;-99;5;-99;6;2;-77;-77;-77;7;5;5;4;4;5;5;6;5;2;3;4;5;5;2;5;5;5;2;1;-99;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091334,7091337,7091343,7133055,7133055,7133055,7091344,7091342,7089086,7089087;1;1;0;-77;-77;9fb98717caf0effd9836b24bdba2847a;1;0;1726146540;12.09.2024 13:09;12.09.2024 13:13;0000-00-00 00:00:00;252;16;61;74;0;84;0;113;0;0;247;159;234;188
43;0;0;31;7089087;-77;160;1;0;0;5e52fa4bc6506d30c686471e;28;1;-99;4;-99;6;2;6;-77;-77;-77;6;1;6;6;6;6;6;6;6;1;4;3;4;4;3;6;3;3;2;-99;1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091338,7091329,7091332,7091334,7091343,7133055,7091344,7091342,7089086,7089087;1;1;0;-77;-77;699f098b085a01e9b97215bfbd6eb555;1;0;1726146546;12.09.2024 13:09;12.09.2024 13:11;0000-00-00 00:00:00;160;12;39;46;0;54;0;0;66;0;151;101;147;109
44;0;0;31;7089087;-77;197;3;0;0;63eb3891e11552f1afb46066;34;2;-99;2;-99;5;2;-77;-77;4;-77;4;5;3;4;4;2;3;4;5;5;3;6;5;6;6;7;5;3;2;-99;1;"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091336,7091334,7091343,7133055,7091344,7091342,7089086,7089087;1;0;0;-77;-77;6ff1a522e10ad906ef861217abfd2dba;1;0;1726146548;12.09.2024 13:09;12.09.2024 13:12;0000-00-00 00:00:00;197;9;43;49;0;58;92;0;0;0;194;127;181;135
45;0;0;31;7089087;-77;236;2;0;0;607d97a1ce7191997f7e71fd;31;2;-99;4;-99;7;2;-77;2;-77;-77;2;4;2;4;1;2;1;2;3;5;3;5;5;6;6;5;5;3;1;-99;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Edg/128.0.0.0";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091339,7091332,7091334,7091343,7133055,7091344,7091342,7089086,7089087;0;0;0;-77;-77;5ca3deca986d5976f89d2ad9bb14dec4;1;0;1726146561;12.09.2024 13:09;12.09.2024 13:13;0000-00-00 00:00:00;236;15;55;63;0;72;0;0;0;96;226;146;208;163
46;0;0;31;7089087;-77;328;3;0;0;5fa8603ba9a9c56e60b79ad2;38;2;-99;4;-99;6;2;-77;-77;2;-77;3;4;4;4;4;4;4;4;4;2;0;6;6;6;6;5;6;3;2;Many of the questions about the doctor could not be answered well based on the limited information given.;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091336,7091334,7091343,7133055,7133055,7133055,7133055,7133055,7091344,7091342,7089086,7089087;0;1;0;-77;-77;a326e4c3dbd7d4a6ec0dab02eb10e586;1;0;1726146565;12.09.2024 13:09;12.09.2024 13:14;0000-00-00 00:00:00;328;12;42;156;0;165;187;0;0;0;322;217;295;270
